:START_ID(HAPLOTYPE),:END_ID(HAPLOTYPE),:TYPE
5538,501,TOP
5539,502,TOP
5540,503,TOP
5541,504,TOP
5542,505,TOP
5543,506,TOP
5544,507,TOP
5545,508,TOP
5546,509,TOP
5547,510,TOP
5548,511,TOP
5549,512,TOP
5550,3980,TOP
5550,3979,TOP
5550,1421,TOP
5550,513,TOP
5551,514,TOP
5552,515,TOP
5553,516,TOP
5554,517,TOP
5555,518,TOP
5556,519,TOP
5557,520,TOP
5558,521,TOP
5559,522,TOP
5560,523,TOP
5561,524,TOP
5562,525,TOP
5563,526,TOP
5564,527,TOP
5565,528,TOP
5566,530,TOP
5567,531,TOP
5568,532,TOP
5569,533,TOP
5569,2458,TOP
5569,547,TOP
5569,2457,TOP
5570,1367,TOP
5570,534,TOP
5571,535,TOP
5572,1374,TOP
5572,536,TOP
5573,537,TOP
5574,538,TOP
5575,539,TOP
5576,540,TOP
5577,541,TOP
5578,542,TOP
5579,543,TOP
5580,544,TOP
5581,545,TOP
5581,560,TOP
5582,546,TOP
5583,548,TOP
5584,549,TOP
5585,568,TOP
5585,550,TOP
5586,551,TOP
5587,1291,TOP
5587,552,TOP
5588,565,TOP
5588,721,TOP
5588,2861,TOP
5588,553,TOP
5589,554,TOP
5590,555,TOP
5591,579,TOP
5591,2083,TOP
5591,556,TOP
5592,557,TOP
5593,558,TOP
5594,559,TOP
5594,642,TOP
5595,561,TOP
5595,2452,TOP
5596,562,TOP
5597,563,TOP
5597,2519,TOP
5598,564,TOP
5599,2526,TOP
5599,566,TOP
5600,567,TOP
5601,569,TOP
5602,570,TOP
5603,571,TOP
5603,2516,TOP
5604,572,TOP
5605,573,TOP
5606,574,TOP
5607,575,TOP
5608,576,TOP
5609,577,TOP
5610,822,TOP
5610,578,TOP
5610,1371,TOP
5611,580,TOP
5612,581,TOP
5613,582,TOP
5614,2088,TOP
5614,583,TOP
5615,584,TOP
5616,585,TOP
5617,586,TOP
5618,587,TOP
5619,589,TOP
5620,590,TOP
5621,594,TOP
5621,603,TOP
5621,3067,TOP
5622,595,TOP
5623,596,TOP
5624,597,TOP
5625,598,TOP
5625,2171,TOP
5626,599,TOP
5627,600,TOP
5628,601,TOP
5629,2172,TOP
5629,602,TOP
5630,2162,TOP
5630,604,TOP
5631,605,TOP
5632,617,TOP
5632,606,TOP
5633,3066,TOP
5633,2159,TOP
5633,607,TOP
5634,608,TOP
5635,609,TOP
5636,610,TOP
5637,611,TOP
5638,2169,TOP
5638,612,TOP
5639,613,TOP
5640,614,TOP
5641,615,TOP
5642,616,TOP
5642,1733,TOP
5643,618,TOP
5644,619,TOP
5645,620,TOP
5646,621,TOP
5646,2168,TOP
5647,622,TOP
5648,874,TOP
5648,2175,TOP
5648,623,TOP
5649,624,TOP
5650,626,TOP
5651,627,TOP
5652,4046,TOP
5652,628,TOP
5653,629,TOP
5653,4045,TOP
5654,630,TOP
5655,631,TOP
5656,632,TOP
5657,633,TOP
5657,4069,TOP
5657,4070,TOP
5658,634,TOP
5658,2742,TOP
5658,2741,TOP
5659,635,TOP
5659,1720,TOP
5659,1735,TOP
5660,636,TOP
5661,637,TOP
5662,638,TOP
5663,1638,TOP
5663,640,TOP
5664,920,TOP
5664,641,TOP
5665,645,TOP
5665,643,TOP
5666,3765,TOP
5666,646,TOP
5667,647,TOP
5667,648,TOP
5668,652,TOP
5668,649,TOP
5668,2482,TOP
5669,650,TOP
5670,651,TOP
5671,653,TOP
5671,4242,TOP
5672,654,TOP
5673,655,TOP
5674,656,TOP
5675,4241,TOP
5675,658,TOP
5676,2479,TOP
5676,660,TOP
5676,663,TOP
5677,661,TOP
5678,665,TOP
5678,669,TOP
5679,666,TOP
5680,667,TOP
5681,668,TOP
5682,670,TOP
5683,674,TOP
5683,673,TOP
5683,672,TOP
5684,675,TOP
5685,677,TOP
5685,676,TOP
5686,679,TOP
5687,680,TOP
5688,681,TOP
5689,683,TOP
5690,684,TOP
5691,688,TOP
5692,689,TOP
5693,692,TOP
5694,695,TOP
5695,698,TOP
5696,699,TOP
5696,2166,TOP
5697,700,TOP
5698,2176,TOP
5698,702,TOP
5699,703,TOP
5700,704,TOP
5701,705,TOP
5702,706,TOP
5703,707,TOP
5704,708,TOP
5705,709,TOP
5706,710,TOP
5707,711,TOP
5708,712,TOP
5709,3078,TOP
5709,3077,TOP
5709,3075,TOP
5709,3074,TOP
5709,3073,TOP
5709,3076,TOP
5709,3072,TOP
5709,713,TOP
5710,714,TOP
5710,1390,TOP
5711,715,TOP
5712,716,TOP
5713,717,TOP
5714,718,TOP
5715,1121,TOP
5715,719,TOP
5716,720,TOP
5717,722,TOP
5718,723,TOP
5719,724,TOP
5720,1125,TOP
5720,733,TOP
5720,725,TOP
5721,726,TOP
5722,824,TOP
5722,1370,TOP
5722,727,TOP
5723,825,TOP
5723,728,TOP
5724,729,TOP
5725,730,TOP
5726,731,TOP
5727,732,TOP
5728,734,TOP
5728,2087,TOP
5729,735,TOP
5730,738,TOP
5730,736,TOP
5731,737,TOP
5732,739,TOP
5733,740,TOP
5734,741,TOP
5735,742,TOP
5736,743,TOP
5737,744,TOP
5738,745,TOP
5739,746,TOP
5740,747,TOP
5741,748,TOP
5742,749,TOP
5743,750,TOP
5744,751,TOP
5745,752,TOP
5746,753,TOP
5747,754,TOP
5748,755,TOP
5749,756,TOP
5750,757,TOP
5751,759,TOP
5752,760,TOP
5753,761,TOP
5754,773,TOP
5754,763,TOP
5754,762,TOP
5755,764,TOP
5756,765,TOP
5757,766,TOP
5758,767,TOP
5759,768,TOP
5760,769,TOP
5761,770,TOP
5762,771,TOP
5763,772,TOP
5764,774,TOP
5765,775,TOP
5766,776,TOP
5766,2623,TOP
5767,4028,TOP
5767,777,TOP
5768,778,TOP
5769,779,TOP
5769,4210,TOP
5770,780,TOP
5770,4211,TOP
5771,781,TOP
5772,782,TOP
5773,783,TOP
5774,784,TOP
5775,3057,TOP
5775,785,TOP
5776,2785,TOP
5776,804,TOP
5776,786,TOP
5777,787,TOP
5778,788,TOP
5779,2786,TOP
5779,789,TOP
5780,790,TOP
5781,791,TOP
5782,794,TOP
5782,2832,TOP
5783,797,TOP
5784,800,TOP
5785,2791,TOP
5785,801,TOP
5786,2788,TOP
5786,802,TOP
5787,2787,TOP
5787,803,TOP
5787,2789,TOP
5788,2129,TOP
5788,805,TOP
5788,2117,TOP
5789,3775,TOP
5789,4259,TOP
5789,806,TOP
5790,3776,TOP
5790,807,TOP
5791,3777,TOP
5791,808,TOP
5792,3778,TOP
5792,809,TOP
5793,3779,TOP
5793,810,TOP
5794,811,TOP
5794,3780,TOP
5795,3781,TOP
5795,812,TOP
5796,813,TOP
5796,3782,TOP
5797,3783,TOP
5797,814,TOP
5798,2126,TOP
5798,2138,TOP
5798,2127,TOP
5798,815,TOP
5798,2137,TOP
5799,816,TOP
5800,2222,TOP
5800,817,TOP
5801,818,TOP
5801,2218,TOP
5801,2223,TOP
5801,2224,TOP
5802,819,TOP
5803,2221,TOP
5803,820,TOP
5804,821,TOP
5805,823,TOP
5806,826,TOP
5807,827,TOP
5808,828,TOP
5809,829,TOP
5810,3247,TOP
5810,2598,TOP
5810,830,TOP
5810,3245,TOP
5811,3249,TOP
5811,2597,TOP
5811,831,TOP
5811,3250,TOP
5812,832,TOP
5812,2600,TOP
5813,833,TOP
5814,834,TOP
5814,3246,TOP
5814,3244,TOP
5815,835,TOP
5816,837,TOP
5816,3251,TOP
5816,3248,TOP
5817,4190,TOP
5817,838,TOP
5818,839,TOP
5818,2748,TOP
5819,841,TOP
5820,842,TOP
5821,843,TOP
5822,844,TOP
5823,845,TOP
5824,846,TOP
5825,4191,TOP
5825,847,TOP
5826,849,TOP
5827,850,TOP
5827,851,TOP
5828,853,TOP
5828,852,TOP
5829,855,TOP
5830,856,TOP
5831,857,TOP
5832,858,TOP
5833,3459,TOP
5833,859,TOP
5834,860,TOP
5835,861,TOP
5836,3613,TOP
5836,3590,TOP
5836,3592,TOP
5836,862,TOP
5837,863,TOP
5837,2990,TOP
5838,864,TOP
5839,865,TOP
5840,866,TOP
5841,867,TOP
5842,868,TOP
5843,869,TOP
5844,870,TOP
5845,871,TOP
5846,872,TOP
5847,873,TOP
5848,875,TOP
5849,876,TOP
5850,877,TOP
5851,878,TOP
5852,879,TOP
5853,880,TOP
5854,881,TOP
5855,882,TOP
5856,883,TOP
5857,884,TOP
5858,885,TOP
5859,886,TOP
5860,887,TOP
5861,888,TOP
5862,889,TOP
5863,890,TOP
5864,892,TOP
5865,893,TOP
5866,895,TOP
5867,896,TOP
5868,897,TOP
5869,898,TOP
5869,3456,TOP
5870,899,TOP
5871,900,TOP
5872,901,TOP
5872,2819,TOP
5872,2704,TOP
5873,902,TOP
5874,903,TOP
5875,904,TOP
5876,905,TOP
5877,906,TOP
5878,907,TOP
5879,908,TOP
5880,909,TOP
5881,910,TOP
5882,911,TOP
5883,2098,TOP
5883,912,TOP
5884,913,TOP
5884,2097,TOP
5885,914,TOP
5886,915,TOP
5886,2096,TOP
5887,916,TOP
5888,917,TOP
5888,1296,TOP
5889,988,TOP
5889,918,TOP
5889,975,TOP
5889,983,TOP
